Amostra,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Temp
1,16544,1240,-672,-128,-241,124,26.11
2,16492,1236,-612,-194,-292,70,26.29
3,16472,1172,-472,-161,-279,72,26.39
4,16424,1164,-480,-160,-260,93,25.96
5,16404,1228,-556,-137,-250,68,25.87
6,16484,1296,-644,-185,-202,55,26.15
7,16548,1220,-592,-132,-291,108,26.11
8,16344,1228,-576,-153,-247,102,26.11
9,16500,1312,-612,-178,-225,82,26.11
10,16440,1232,-580,-143,-259,107,26.15
11,16544,1140,-516,-141,-193,83,26.25
12,16444,1212,-544,-136,-200,93,26.06
13,16492,1252,-452,-155,-215,110,26.25
14,16536,1232,-484,-133,-262,103,26.11
15,16696,1220,-512,-154,-246,104,26.15
16,16572,1212,-628,-154,-258,87,25.96
17,16468,1168,-604,-163,-216,55,26.06
18,16392,1144,-636,-174,-273,73,26.11
19,16364,1208,-556,-130,-183,102,26.11
20,16376,1296,-600,-147,-240,81,26.15
21,16424,1180,-744,-161,-248,83,26.39
22,16572,1212,-488,-133,-213,51,26.11
23,16432,1260,-512,-161,-268,99,26.25
24,16476,1156,-472,-142,-207,133,26.15
25,16564,1252,-612,-145,-240,86,26.06
